Plant,Date,Non- Compliance Group,Species,Type,Compliance Level,Non Compliance,Description,Action
[Plant Name & Number],30/10/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Ingrown horn/s,One bovine animals with an ingrown horn,TS-Trading Standards informed
[Plant Name & Number],30/10/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,"[ID Number] , Limousin X, from . [Name & Address]
This animal was transferred on 29/10/2015 to  [Name & Address], [ID Number], who presented this animal to the abattoir.
Foetus measures: FOETUS SEX: MALE LENGTH:   96 cm.
WEIGHT: 38 kg. CORONARY ARC: 18 cm.
Gestation period for Limousine: 289 .
According with the measured the fetal age of this calf was 268.7 days.
Gestation period completed on this case: 93%.
In my opinion the animal had been travelling within the last 90% gestation period and this could have been easily avoided. In my opinion this may have caused unnecessary pain, and distress to the animal.",APHA-Animal Health Office informed
[Plant Name & Number],03/11/2015,Captive bolt/concussio n/free bullet,Red Meat: Sheep,Effectiveness,3,Multiple stuns,double shot as the first was poor or inefective,Other
[Plant Name & Number],05/11/2015,Stunning / killing,Poultry: Poultry,Gas killing,3,Other,phase 1 carbon dioxide levels exceed max.legal limit of 40 %,ENF Welfare Enforcement Notice
[Plant Name & Number],06/11/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf at PMI More than 90% of pregnancy,TS-Trading Standards informed
[Plant Name & Number],10/11/2015,Post-mortem findings,Red Meat: Pigs,Post-mortem findings,3,Not Applicable,"two sows, belonging to [Name & Address], have been found pregnant at PM examination, each one with 6 foetus, in one they were 21 long from the tip of the nose to the root of the tail, in the other 18 cm long, both with cornified nails and well developed external organs.Collected one foetus and some mammary tissue from each sow",APHA-Animal Health Office informed
[Plant Name & Number],10/11/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Ingrown hoof and swollen,APHA-Animal Health Office informed
[Plant Name & Number],12/11/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,3,Injured animals,double fracture,TS-Trading Standards informed
[Plant Name & Number],12/11/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,operator restun - h+s,ENF verbal advice
[Plant Name & Number],12/11/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,1 cattle required for shots to be stun,ENF written advice
[Plant Name & Number],13/11/2015,Lairage design and maintenance,Red Meat: Cattle,Overall lairage design,3,Inadequate design for the animals handled,"Two long horned, highland cattle found with head stacked between pen bars. Both killed in the lairage on welfare ground",ENF verbal advice
[Plant Name & Number],13/11/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Not Applicable,"sheep not bearing weight on the right front leg. belonging to [Name & ID Number], Welfare LA [ID Number]",TS-Trading Standards informed
[Plant Name & Number],16/11/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf found at PMI,TS-Trading Standards informed
[Plant Name & Number],16/11/2015,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Escaped birds,Escaped bird were allowed to move freely in pen without quick action by the operators. no welfare compromised.,ENF verbal advice
[Plant Name & Number],17/11/2015,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Other,Unwitnessed accident (pig with broken leg found in lairage by FBO operative during slaughter day). Dealt with properly. No enforcement action required,None Applicable
[Plant Name & Number],18/11/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf found at PMI,TS-Trading Standards informed
[Plant Name & Number],18/11/2015,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Other,"1 broken leg. Proper FBO actions observed. Considered as unavoidable accident, no fault of operator. No enforcement action required.",None Applicable
[Plant Name & Number],18/11/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,Large bruise identified at post-mortem inspection,TS-Trading Standards informed
[Plant Name & Number],19/11/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf. Above 90% of the pregnancy,TS-Trading Standards informed
[Plant Name & Number],23/11/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,"[ID Number & Address]. Foetus measures: FOETUS SEX: FEMALE LENGTH:   102 cm.
WEIGHT: 48 kg. CORONARY ARC: 20 cm.
Gestation period for Simmental: 289.
According with the measured the fetal age of this calf was 276,3 days.
Gestation period completed on this case: 95,6%.
In my opinion the animal had been travelling within the last 90% gestation period and this could have been easily avoided. In my opinion this may have caused unnecessary pain, and distress to the animal.
[ID Number]  a Simmental x, DoB 23.04.2006 from [ID Number & Address] was slaughter on the truck. Animal was exhaust an unable to stand up due to poor condition and a travel journey of 3 hours and 24 minutes.
Time of loading 20:00 time of uploading 01:24.
Animals must be assessed properly to travel with the purpose of avoid such incidents.",TS-Trading Standards informed
[Plant Name & Number],23/11/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,,TS-Trading Standards informed
[Plant Name & Number],23/11/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,"[ID Number & Address]. Foetus measures: FOETUS SEX: FEMALE LENGTH:   102 cm.
WEIGHT: 48 kg. CORONARY ARC: 20 cm.
Gestation period for Simmental: 289.
According with the measured the fetal age of this calf was 276,3 days.
Gestation period completed on this case: 95,6%.
In my opinion the animal had been travelling within the last 90% gestation period and this could have been easily avoided. In my opinion this may have caused unnecessary pain, and distress to the animal.",APHA-Animal Health Office informed
[Plant Name & Number],24/11/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,"1OGG and 1CW pig delivered to [Name] not able to walk. Shot and bled on the lorry. CW pig - both hind legs broken, OGG pig - fore leg broken. Evidence (3 legs) in detain chill.",TS-Trading Standards informed
[Plant Name & Number],24/11/2015,"Electronarcosis
/electrocution",Red Meat: Pigs,Effectiveness of stun,4,Stunning not effective,"Miss - stun of 1 pig due to increased movement of other pigs in the stunning pen. No fault of the operator, unavoidable. No enforcement action required.",Other
[Plant Name & Number],25/11/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,3,Other,DOA,TS-Trading Standards informed
[Plant Name & Number],25/11/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,one pig with femur fracture,APHA-Animal Health Office informed
[Plant Name & Number],25/11/2015,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Not Applicable,"damaged door at entrance of hanging area. no welfare compromised, although the risk of escaped animals is not properly prevented.",ENF verbal advice
[Plant Name & Number],25/11/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Ingrown horn/s,One sheep presenting ingrown horns.,TS-Trading Standards informed
[Plant Name & Number],26/11/2015,Handling and restraint,Red Meat: Sheep,Handling in race to stun pen,4,Other,Sheep kicked by the operative,Other
[Plant Name & Number],26/11/2015,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Other,"Accident probably due to pigs fighting in pens (not witnessed). At 9:55 1 animal with broken leg in pen no 3. All animals were OK at time of unloading yesterday and during evening and morning checks performed by AWO (last check carried out by AWO at 5:50am).
Shot and bled on the spot.",None Applicable
[Plant Name & Number],30/11/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,"Bovine animal not being able to head restrain. The FBO decided to shot it (twice), the animal fell and did't move. When opening the door the animal stand up, but late to close as it would cause vertebral column damage. The animal walked through the bleed line and got shot , move in other direction so it was ineffective. walked to the head inspection point and shot efficiently and bled straight away. No enforcement action taken as FBO was very proactive and look after the welfare of the animal within the limitations.",Other
[Plant Name & Number],01/12/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Other,5 Dairy cows coming from [Name & Address] presenting very swollen mammary glands and two of them with severe mastitis.,TS-Trading Standards informed
[Plant Name & Number],01/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"[Name]
HOSE 1 FPD 100% SCORE 2",None Applicable
[Plant Name & Number],02/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"[Name] load 9,10,14 house 2+3,3 and 5",APHA-Animal Health Office informed
[Plant Name & Number],03/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,80% of score 2 FPD from [Name],APHA-Animal Health Office informed
[Plant Name & Number],08/12/2015,Lairage operation,Red Meat: Cattle,Animal welfare officer’s checks and actions,4,Other,No actions to solve the problem,ENF written advice
[Plant Name & Number],08/12/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,,APHA-Animal Health Office informed
[Plant Name & Number],11/12/2015,Lairage operation,Poultry: Poultry,Efficient management of the process that ensures waiting times from arrival to slaughter are kept to the minimum,3,Long waiting times from arrival to slaughter,organics killed before overnights,ENF written advice
[Plant Name & Number],11/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"80% Score 2, 15% Score 1 and 5 % Score 0",APHA-Animal Health Office informed
[Plant Name & Number],14/12/2015,Bleeding,Red Meat: Pigs,Stun to bleeding time,3,Stun to bleed time too long,operator not ready to bleed the animal after stunning: stun to blled time too long,ENF verbal advice
[Plant Name & Number],16/12/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,late stage of pregnancy,APHA-Animal Health Office informed
[Plant Name & Number],16/12/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Full Pregnant Cattle transported to the Abattoir,APHA-Animal Health Office informed
[Plant Name & Number],17/12/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,late stages of pregnancy,APHA-Animal Health Office informed
[Plant Name & Number],18/12/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,2 AVL1 animals arrived with broken hind legs. Proper FBO action observed. TS informed.,TS-Trading Standards informed
[Plant Name & Number],18/12/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,Severe bruising in highland cows,TS-Trading Standards informed
[Plant Name & Number],21/12/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,2 animals shot in the lorry as they are unable to walk to the race. both come from [Name],TS-Trading Standards informed
[Plant Name & Number],21/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"[Name] 22:90%score2,5%score1,5%score0.and load 24 70%score2, load 28 100%score 2",APHA-Animal Health Office informed
[Plant Name & Number],22/12/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Animal from [Name] brought in with an end of term pregnancy. [ID Number],TS-Trading Standards informed
[Plant Name & Number],24/12/2015,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Not Applicable,1 pig found by AWO in the morning with broken leg. Not witnessed accident. Proper action taken. Shot and bled ASAP.,None Applicable
[Plant Name & Number],24/12/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,"High level of PMI
rejections/DO As",11.85% rejection for cellulitis on [Name & ID Number],APHA-Animal Health Office informed
[Plant Name & Number],28/12/2015,Lairage operation,Poultry: Poultry,Efficient management of the process that ensures waiting times from arrival to slaughter are kept to the minimum,3,Long waiting times from arrival to slaughter,Organic birds slaughtered before birds that stayed over night leading to very long waiting times,ENF Welfare Enforcement Notice
[Plant Name & Number],28/12/2015,Lairage operation,Poultry: Poultry,Written procedures available and implemented for protecting animal welfare,3,SOPs not followed,Organic birds slaughtered before birds that stayed over night,ENF verbal advice
[Plant Name & Number],05/01/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,4,Other,"Animal [ID Number], Limousin x, Female, DOB: 03/05/2014.The lorry with 44 animals arrived at the loading bay at 10:10. At 10:12 the lower level of the lorry began to be unloaded (23 animals). The lairage operative opened the gate to allow the animals go to pen 30 (which allows a maximum number of 30 animals). Getting out of the reception pen, once the animal turned it slip and fell on the floor (at 10:15) and then 2-3 animals went over it, resulting on getting the leg broken. The animal stood up and walked until pen 30 with the rest of the animals. Once there the animal laid down. For health and safety reasons for the operative who was going to shot the animal they emptied pen number 30, but this animal with the broken leg decided to stood up and walk away with the rest of the load. At 10.22 the animal fell down in the corridor, where it was not able to stood up again. At 10:27 the animal was shot (once) and bleed.",None Applicable
[Plant Name & Number],06/01/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Broken leg,OV witnessed unavoidable accidental incident after an animal jumped at unloading ramp and broke his leg. Inmediate action taken by FBO. Emergency slaughter in lairage under OV supervision and carcass processed for HC,None Applicable
[Plant Name & Number],07/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"Birds from [Name & ID Number] presented at PMI  FPD 89% score 2, 10% score 1 and 1% score 0",APHA-Animal Health Office informed
[Plant Name & Number],07/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"Birds from [Name & ID Number], presented at PMI  FPD 97% score 2, 2% score 1 and 1% score 0",APHA-Animal Health Office informed
[Plant Name & Number],07/01/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,Severe bruising observed at post-mortem.,TS-Trading Standards informed
[Plant Name & Number],08/01/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Ingrown horn/s,One sheep presenting the left horn ingrown and penetrating the masseter muscle,TS-Trading Standards informed
[Plant Name & Number],11/01/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,One bovine animal identified with a late stage pregnancy,TS-Trading Standards informed
[Plant Name & Number],11/01/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,2 carcases rejected generalised conditions,APHA-Animal Health Office informed
[Plant Name & Number],12/01/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Bruised,Carcass belonging to [ID Number] was found today during PMI with severe bruising in both flanks likely to be caused due to a poor animal handling.,APHA-Animal Health Office informed
[Plant Name & Number],13/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,70% pododermatitis score 2,APHA-Animal Health Office informed
[Plant Name & Number],14/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,,None Applicable
[Plant Name & Number],14/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,70% of FPD,TS-Trading Standards informed
[Plant Name & Number],15/01/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,animal arrived today in a load of 11 animals with part of the tissue from fore leg ripped off and bone affected as well. Not fit for travel taking into consideration the severity of the injury.,TS-Trading Standards informed
[Plant Name & Number],19/01/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,last 10% of gestation,TS-Trading Standards informed
[Plant Name & Number],20/01/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Other,3 DOA sheep form a total batch of 89 lambs.,TS-Trading Standards informed
[Plant Name & Number],20/01/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Other,2 DOA sheep form a total batch of 290,TS-Trading Standards informed
[Plant Name & Number],20/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,60% Score 2,APHA-Animal Health Office informed
[Plant Name & Number],22/01/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Broken leg,The lariage operative shot a night before a sheep presenting a broken leg at unloading,TS-Trading Standards informed
[Plant Name & Number],22/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,80% FPD score 2,APHA-Animal Health Office informed
[Plant Name & Number],22/01/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,"One cattle [ID Number] shot on lorry by FBO, without AMI, on Thursday, 21st January 2016. Poor condition and skin damage",APHA-Animal Health Office informed
[Plant Name & Number],25/01/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Not Applicable,,None Applicable
[Plant Name & Number],27/01/2016,Transportation,Poultry: Poultry,Protection from adverse weather conditions/ther mal stress/injury during transport,4,Birds trapped between crates and modules,Bird found trapped between module and basket,TS-Trading Standards informed
[Plant Name & Number],27/01/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Bovine with leg lesion not suitably transported.,APHA-Animal Health Office informed
[Plant Name & Number],29/01/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Other,7 sheep presenting at ante-mortem foot-rot lesions,TS-Trading Standards informed
[Plant Name & Number],29/01/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Two calves identified at post-mortem inspection from a total batch of 14 cattle.,TS-Trading Standards informed
[Plant Name & Number],29/01/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,One sheep identified during ante-mortem inspection with one ingrown horn.,TS-Trading Standards informed
[Plant Name & Number],31/01/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Other,1 bird caught between basket and module,APHA-Animal Health Office informed
[Plant Name & Number],02/02/2016,On farm welfare,Red Meat: Pigs,Welfare on farm,3,Other,"As agreed, I`m sending you the report of the welfare issue happened today in plant [ID Number].Today there were 2 sows heavily pregnant, one carrying 6 piglets, lenght around 22 cm from the base of the tail to the back of the skull, fully covered with hair, cornified nails and fully developed external organs.The other was carrying 10  piglets, lenght around 18 cm from the base of the tail to the back of the skull, fully covered with hair, cornified nails and fully developed external organs.Both the sows were quite obviously pregnant and with well developed mammary tissue.They belonged to [Name & ID Number].One piglets from each sow has been collected, together with one mammary tissue sample, and they have been sealed with seal [Number] respectively.",APHA-Animal Health Office informed
[Plant Name & Number],03/02/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Bruised,One sheep presenting an old bruise on the left side (flank+ ribs),TS-Trading Standards informed
[Plant Name & Number],04/02/2016,Handling and restraint,Red Meat: Cattle,Restraint,3,Head restrainers not available for adult cattle,No cattle head restraint wild cattle,ENF verbal advice
[Plant Name & Number],05/02/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"During post-mortem inspection a large calf at late stage of pregnancy was found. Findings showed a foetus with a full coat of hair, ""golden slippers"" present on feet, erupted incisors and presence of eyelashes.",TS-Trading Standards informed
[Plant Name & Number],05/02/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,4 sheep DOA; probably suffocated,TS-Trading Standards informed
[Plant Name & Number],08/02/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf identified during post-mortem inspection,TS-Trading Standards informed
[Plant Name & Number],08/02/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Poor animals/ suspect emaciation,Lambs in poor condition arthritic joints,Other
[Plant Name & Number],10/02/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,One fully developed calf identified during post-mortem inspection,TS-Trading Standards informed
[Plant Name & Number],10/02/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,Bruising in cast cows no pattern suggestive of major welfare cause monitor future consignments,Other
[Plant Name & Number],12/02/2016,Welfare on transport,Red Meat: Pigs,Unloading facilities,3,Other,Driver seen by OV and FBO leg kicking one pig after unloading,ENF Referral for investigation
[Plant Name & Number],16/02/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,Cast cow with large haematoma,APHA-Animal Health Office informed
[Plant Name & Number],19/02/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"During ante mortem inspection a potentially heavy pregnant animal was identified. Post mortem findings showed a large calf (about 85cm from crown to rump) which potentially could have been in last stage with a full coat of hair, eyelashes, 'golden slippers' on feet and erupted incisors though the gum.",TS-Trading Standards informed
[Plant Name & Number],22/02/2016,On farm welfare,Red Meat: Pigs,Welfare on farm,3,Poor animals/ suspect emaciation,"very thin, border line emaciated animal has been delivered.",APHA-Animal Health Office informed
[Plant Name & Number],24/02/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Other,3 lame sheep/ on stiff legs transported together on insufficient amount of bedding for their condition.,TS-Trading Standards informed
[Plant Name & Number],24/02/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,one sheep identified during ante-mortem with both horns penetrating the cheek muscle,APHA-Animal Health Office informed
[Plant Name & Number],25/02/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Breast blisters/ breast burns,High percentage of Contact dermatatis,APHA-Animal Health Office informed
[Plant Name & Number],01/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,fully developed calf found at PMI. Animal 92% of pregnancy,TS-Trading Standards informed
[Plant Name & Number],01/03/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Ineffective stun/signs of recovery after stunning,"Ineffective stunning, signs of recovery",ENF written advice
[Plant Name & Number],01/03/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"one large foetus found in one cattle, belonging to [Name & ID Number].
The foetus was 67 cm long, from the root of the tail to the back of the head, external organs fully developed, hair all over the body and cornified hooves.
APHA inspectors have visited the farm, verbal advice issued, a written one too if deemed necessary.
No formal enforcement taken.",APHA-Animal Health Office informed
[Plant Name & Number],02/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,4 calves found at PMI. Pregnancies above 90%. One of the animals was pregnant with twins,TS-Trading Standards informed
[Plant Name & Number],02/03/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,Foot-root lesions identified on 6 lambs from a total batch of 32.,TS-Trading Standards informed
[Plant Name & Number],03/03/2016,Welfare on transport,Red Meat: Pigs,Unloading facilities,4,Inadequate ramp,Pig emergency slaughtered today in unloading ramp due to a broken leg. Because of the severity of the lesion ramp was inspected and a hole was spotted when ramp is being lifted up and down likely to being the root cause of the lesion. Report along with evidences sent to TS,TS-Trading Standards informed
[Plant Name & Number],03/03/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,80 % pododermatitis score 2,APHA-Animal Health Office informed
[Plant Name & Number],04/03/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Wounds,Recent ceasearean,APHA-Animal Health Office informed
[Plant Name & Number],07/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Pregnant cattle noticed on the PM inspection with phoetus big enough to be on the last 10 % of gestation,TS-Trading Standards informed
[Plant Name & Number],07/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 fully developed calves at PMI from the same keeper. Both animals above 90% of pregnancy,TS-Trading Standards informed
[Plant Name & Number],08/03/2016,Stunning / killing,Red Meat: Sheep,Standard operating procedures,4,Not Applicable,slaughter man has stunned 2 sheep per time,ENF verbal advice
[Plant Name & Number],09/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Pregnant cattle noticed pregnant on the PM with phoetus big enough to be on the last 10% of gestation,TS-Trading Standards informed
[Plant Name & Number],10/03/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,"some sheep presented with ""Armour-plating""",TS-Trading Standards informed
[Plant Name & Number],11/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI. Above 90% of pregnancy. Reincident keeper,TS-Trading Standards informed
[Plant Name & Number],14/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI. Nearly 100% of pregnancy.,TS-Trading Standards informed
[Plant Name & Number],15/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI. 93% of the pregnancy,TS-Trading Standards informed
[Plant Name & Number],15/03/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,Animal weight bearing on knees due to severe foot rot,APHA-Animal Health Office informed
[Plant Name & Number],15/03/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,Severe foot rot lesions weight bearing on carpal joint,APHA-Animal Health Office informed
[Plant Name & Number],16/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"5 fully developed calves found at PMI. All of the animals above 90% of pregnancy, some of them nearly 100%, reincident Farrner",TS-Trading Standards informed
[Plant Name & Number],16/03/2016,On farm welfare,Red Meat: Pigs,Welfare on farm,3,Other,12 tail bites arrived today from [Name] .,APHA-Animal Health Office informed
[Plant Name & Number],17/03/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,broken hoof,APHA-Animal Health Office informed
[Plant Name & Number],18/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI. Animal around 94% of the pregnancy,TS-Trading Standards informed
[Plant Name & Number],22/03/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,One sheep with both horns ingrown,TS-Trading Standards informed
[Plant Name & Number],24/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Broken leg,One bovine animal presenting a broken leg at unloading,TS-Trading Standards informed
[Plant Name & Number],24/03/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,Water on the floor due to a faulty trough in pen 8,ENF verbal advice
[Plant Name & Number],29/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Cow in the last stage of gestation.,TS-Trading Standards informed
[Plant Name & Number],29/03/2016,Lairage operation,Red Meat: Cattle,Provision of bedding,3,Bedding not provided,Bedding not provided for 2 bulls on the pen 1,ENF verbal advice
[Plant Name & Number],30/03/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Last stages of pregnancy,Death lamb found in the pen when the operatives were cleaning. Probably born during the night.,TS-Trading Standards informed
[Plant Name & Number],30/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Mature calf was found during the PMI with incisors erupted, full coat, eyelash, around 80 cm. and almost completed hard hoofs.",TS-Trading Standards informed
[Plant Name & Number],30/03/2016,Handling and restraint,Red Meat: Cattle,Handling in race to stun pen,3,Long waiting times in the race,1 cattle was held on the cattle stunning pen waiting for antemortem inspection,ENF verbal advice
[Plant Name & Number],31/03/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,1 cow pregnant-full term calf on PM findings,TS-Trading Standards informed
[Plant Name & Number],31/03/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,at ante mortem inspection 4 pens on cattle lairage flooded,ENF written advice
[Plant Name & Number],01/04/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,One fully developed calf identified at post-mortem inspection.,TS-Trading Standards informed
[Plant Name & Number],01/04/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Cattle found after evisceration to be in last stages of preganancy,TS-Trading Standards informed
[Plant Name & Number],01/04/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI. Over 90% of the pregnancy,TS-Trading Standards informed
[Plant Name & Number],01/04/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,operator decided to double stun as safty precauction,None Applicable
